asset_symbols,asset_address,asset_terraswap_liquidity,asset_astroport_liquidity
MIR,terra15gwkyepfc6xgca5t5zefzwy42uts8l2m4g40k6,13262993.22049,29875131.594352
ANC,terra14z56l0fp2lsf86zy3hty2z47ezkhnthtr9yq76,17093645.552574,194642226.459872
MINE,terra1kcthelkax4j9x8d3ny6sdag0qmxxynl3qtcrpy,18036488.584938,47963326.817784
ASTRO,terra1xj49zyqrwpv5k928jwfpfy2ha668nwdgkwlrg3,387089.358732,120323409.939944
STT,terra13xujxcrc9dqft4p9a8ls0w3j0xnzm6y2uvve8n,2569115.04299,34433986.868324
PSI,terra12897djskt9rge8dtmm86w654g7kzckkd698608,10496705.390336,9954037.378004
KUJI,terra1xfsdgcemqwxp4hhnyk4rle6wr22sseq7j07dnn,6562733.681926,0.0
VKR,terra1dy9kmlm4anr92e42mrkjwzyvfqwz66un00rwr5,824064.030542,20008336.213726
WHALE,terra1php5m8a6qd68z02t3zpw4jv2pj4vgw4wz0t8mz,19510283.091468,0.0
LOOP,terra1nef5jf6c7js9x6gkntlehgywvjlpytm7pcgkn4,84419.27881,0.0
ORION,terra1mddcdx0ujx89f38gu7zspk2r2ffdl5enyz2u03,1275148.525948,4585764.494338
APOLLO,terra100yeqvww74h4yaejj6h733thgcafdaukjtw397,301470.06466,10485696.153166
SPEC,terra1s5eczhe0h0jutf46re52x5z4r03c8hupacxmdr,11129409.023652,0.0
HALO,terra1w8kvd6cqpsthupsk4l0clwnmek4l3zr7c84kwq,3566.44821,0.0
bLUNA,terra1kc87mu460fwkqte29rquh4hc20m54fxwtsx7gp,39459.54184,0.0
bETH,terra1dzhzukyezv0etz22ud940z7adyv7xgcjkahuun,7030491.976124,0.0
aUST,terra1hzh9vpxhsk8253se0vv5jj6etdvxu3nv8z07zu,1544019.453318,0.0
